core.externalId,core.name,core.description,Asset Type,HierarchicalPath,Created On,Created By,Modified On,Modified By,Identity,core.location,core.origin
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/EMAIL~com.infa.odin.models.relational.Column,EMAIL,,com.infa.odin.models.relational.Column,Ora_test/xe/DEMO/IOB_CUSTOMERS/EMAIL,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,da3fcae7-54c5-4567-aeed-d7e8174b36d3,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/EMAIL,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/BRANCHID~com.infa.odin.models.relational.Column,BRANCHID,,com.infa.odin.models.relational.Column,Ora_test/xe/DEMO/IOB_CUSTOMERS/BRANCHID,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,e60e479d-1d2a-44ad-b626-ec34bafe6bde,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/BRANCHID,7f194812-5426-3b18-9c97-315f6b4d7dc1
DS-13,Core,,com.infa.ccgf.models.governance.DataSet,ORACLE/Core,"Dec 07, 2024, 03:51:08 AM",manoj_GE,"Dec 07, 2024, 03:51:08 AM",manoj_GE,f1e10e4b-cbbd-4e05-90d7-4d007df6f310,CDGC://6760a609-a6cc-42e3-9929-76bfc8caf109/f1e10e4b-cbbd-4e05-90d7-4d007df6f310,CDGC
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/ADDRESS~com.infa.odin.models.relational.Column,ADDRESS,,com.infa.odin.models.relational.Column,Ora_test/xe/DEMO/IOB_CUSTOMERS/ADDRESS,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,1010fe7f-a269-4a52-ba9a-92f8d6215fad,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/ADDRESS,7f194812-5426-3b18-9c97-315f6b4d7dc1
DOM-11,Supplier,All details of supplier data,com.infa.ccgf.models.governance.Domain,Supplier,"May 01, 2025, 02:48:25 PM",manoj_GE,"May 01, 2025, 02:48:29 PM",manoj_GE,11a09104-7489-402e-895d-53ed6a3abd97,CDGC://11a09104-7489-402e-895d-53ed6a3abd97,CDGC
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/DATEOFBIRTH~com.infa.odin.models.relational.Column,DATEOFBIRTH,,com.infa.odin.models.relational.Column,Ora_test/xe/DEMO/IOB_CUSTOMERS/DATEOFBIRTH,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,2171602d-19ec-4cf7-bdc5-94c570ee260f,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/DATEOFBIRTH,7f194812-5426-3b18-9c97-315f6b4d7dc1
BT-355,Supplier ID,Unique identifier assigned to each supplier.,com.infa.ccgf.models.governance.BusinessTerm,Supplier/Supplier ID,"May 04, 2025, 01:36:03 AM",Arjun_Dev,"May 04, 2025, 01:36:03 AM",Arjun_Dev,277051b2-6aae-48bf-b5b8-534853ad3bc7,CDGC://11a09104-7489-402e-895d-53ed6a3abd97/277051b2-6aae-48bf-b5b8-534853ad3bc7,CDGC
BT-244,Asset Name,Descriptive or official name of the asset,com.infa.ccgf.models.governance.BusinessTerm,Asset/Asset Name,"Apr 16, 2025, 04:16:14 PM",manoj_GE,"May 05, 2025, 05:35:20 PM",Arjun_Dev,3572c56b-7570-46b5-bfb6-9212326933fa,CDGC://c602bee1-ee44-4871-a74f-1dab25c23229/3572c56b-7570-46b5-bfb6-9212326933fa,CDGC
4bfce055-a12d-3ec2-a0a1-a49dbffc2224://4bfce055-a12d-3ec2-a0a1-a49dbffc2224~core.Resource,S3_AI_Factory_CIA,UI Metadata POC,core.Resource,S3_AI_Factory_CIA,"Jun 10, 2025, 01:49:31 AM",Manoj_Dev,"Jun 10, 2025, 02:19:12 AM",Manoj_Dev,3fef4988-60d3-46a0-8d61-a7acfd400da6,4bfce055-a12d-3ec2-a0a1-a49dbffc2224://4bfce055-a12d-3ec2-a0a1-a49dbffc2224,4bfce055-a12d-3ec2-a0a1-a49dbffc2224
BT-236,Customer Type,Classification of the customer.,com.infa.ccgf.models.governance.BusinessTerm,Customer/Customer Type,"Apr 16, 2025, 04:16:14 PM",manoj_GE,"May 01, 2025, 03:13:26 PM",manoj_GE,662224db-3827-4afd-b230-0d8ee3196367,CDGC://0de78700-07cd-47e0-a71a-65c3a24da16e/662224db-3827-4afd-b230-0d8ee3196367,CDGC
